id	source_po_id	source_po_no	material_id	material_code	material_name	line_description	brand_name	qty_buy	buy_uom_id	buy_uom_code	content_per_buy	qty_content	content_uom_id	content_uom_code	hpp	unit_price	request_date	po_status	source_updated_at
220	124	PO-202604-0124	167	BB-EXL-7C9B79BF	SAUS BANGKOK	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	9	ML	31.000000	31000.00	2026-04-04	PAID	2026-04-04 09:57:23
413	270	PO-202604-0269	168	BB-EXL-F32E7BF4	SAUS SAMBAL	NULL	DEL MONTE	5.0000	3	PACK	1000.000000	5000.0000	11	GR	23.500000	23500.00	2026-04-08	PAID	2026-04-08 09:32:42
651	391	PO-202604-0387	166	BB-EXL-2A4359A4	SAUS TOMAT	NULL	NULL	1.0000	54	GLN	5000.000000	5000.0000	11	GR	18.400000	92000.00	2026-04-13	PAID	2026-04-13 09:39:10
718	461	PO-202604-0457	170	BB-EXL-CC790C4E	SELADA	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	45.000000	45000.00	2026-04-15	PAID	2026-04-15 08:44:24
776	499	PO-202604-0495	172	BB-EXL-FE30105E	SEREH	1 IKET	NULL	1.0000	3	PACK	450.000000	450.0000	11	GR	13.333333	6000.00	2026-04-16	PAID	2026-04-16 08:47:26
308	211	PO-202604-0210	177	BB-EXL-3D4DCFF4	SIRUP CARAMEL	NULL	TOFICO	3.0000	6	BTL	1000.000000	3000.0000	9	ML	110.000000	110000.00	2026-04-06	PAID	2026-04-06 13:47:00
620	418	PO-202604-0414	182	BB-EXL-40EFBA07	SIRUP ORANGE	NULL	SUNQUICK	2.0000	6	BTL	300.000000	600.0000	9	ML	110.000000	33000.00	2026-04-13	PAID	2026-04-13 07:51:59
309	212	PO-202604-0211	186	BB-EXL-64F97D41	SIRUP VANILLA	NULL	TOFICO	4.0000	6	BTL	1000.000000	4000.0000	9	ML	110.000000	110000.00	2026-04-06	PAID	2026-04-06 13:47:49
298	193	PO-202604-0192	187	BB-EXL-CFFDF439	SKM COKLAT	NULL	NULL	2.0000	7	CAN	370.000000	740.0000	11	GR	32.432432	12000.00	2026-04-06	PAID	2026-04-06 10:13:42
1027	699	PO-202604-0581	189	BB-EXL-4BF1B458	SMOKED BEEF	NULL	VITALIA	1.0000	3	PACK	280.000000	280.0000	11	GR	35.714286	10000.00	2026-04-19	PAID	2026-04-19 10:19:49
450	282	PO-202604-0281	192	BB-EXL-A5D9311E	SPAGHETTI	spaggheti	serdani	1.0000	3	PACK	1000.000000	1000.0000	11	GR	25.000000	25000.00	2026-04-07	PAID	2026-04-09 06:47:51
1034	681	PO-202604-0563	193	BB-EXL-582A0E4B	STRAWBERRY	NULL	NULL	1.0000	3	PACK	12.000000	12.0000	38	BUAH	1000.000000	12000.00	2026-04-19	PAID	2026-04-19 10:24:35
312	215	PO-202604-0214	194	BB-EXL-4373520E	STRAWBERRY SAUCE	NULL	TOFICO	2.0000	2	UNIT	1000.000000	2000.0000	11	GR	95.000000	95000.00	2026-04-06	PAID	2026-04-06 13:58:12
1021	695	PO-202604-0577	196	BB-EXL-F27C39BB	TAHU	NULL	NULL	2.0000	3	PACK	10.000000	20.0000	1	PCS	1000.000000	10000.00	2026-04-19	PAID	2026-04-19 10:14:18
685	440	PO-202604-0436	197	BB-EXL-BC711F3B	TAHU PONG	NULL	NULL	3.0000	3	PACK	10.000000	30.0000	1	PCS	800.000000	8000.00	2026-04-14	PAID	2026-04-14 08:50:35
647	414	PO-202604-0410	199	BB-EXL-2C2D3E2A	TEH GOPEK	NULL	NULL	1.0000	3	PACK	400.000000	400.0000	11	GR	85.000000	34000.00	2026-04-13	PAID	2026-04-13 09:34:24
819	513	PO-202604-0509	200	BB-EXL-822C1219	TELUR	NULL	NULL	10.0000	10	KG	17.000000	170.0000	40	BUTIR	1500.000000	25500.00	2026-04-17	PAID	2026-04-17 11:46:51
940	630	PO-202604-0536	201	BB-EXL-3971BE98	TEMPE	NULL	NULL	1.0000	3	PACK	2.000000	2.0000	1	PCS	5000.000000	10000.00	2026-04-18	PAID	2026-04-18 09:15:15
628	407	PO-202604-0403	234	BB-EXL-F79D8332	TEPUNG BERAS	NULL	ROSEBRAND	1.0000	3	PACK	500.000000	500.0000	11	GR	16.000000	8000.00	2026-04-13	PAID	2026-04-13 08:04:32
773	482	PO-202604-0478	202	BB-EXL-6EB02097	TEPUNG MAIZENA	NULL	NULL	2.0000	3	PACK	250.000000	500.0000	11	GR	20.000000	5000.00	2026-04-16	PAID	2026-04-16 08:45:44
557	369	PO-202604-0365	203	BB-EXL-CF75204B	TEPUNG TAPIOKA	NULL	NULL	1.0000	3	PACK	500.000000	500.0000	11	GR	16.000000	8000.00	2026-04-11	PAID	2026-04-11 07:56:00
800	520	PO-202604-0516	204	BB-EXL-67A15F22	TEPUNG TERIGU	NULL	NULL	2.0000	3	PACK	1000.000000	2000.0000	11	GR	10.000000	10000.00	2026-04-17	PAID	2026-04-17 07:28:02
943	632	PO-202604-0538	206	BB-EXL-04D67816	TIMUN	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	10.000000	10000.00	2026-04-18	PAID	2026-04-18 09:16:48
942	627	PO-202604-0533	209	BB-EXL-2F080064	TOMAT	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	20.000000	5000.00	2026-04-18	PAID	2026-04-18 09:16:20
354	228	PO-202604-0227	213	BB-EXL-944F5894	UDANG	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	120.000000	30000.00	2026-04-07	PAID	2026-04-07 10:21:41
642	397	PO-202604-0393	217	BB-EXL-05B96CBF	WORTEL	NULL	NULL	1.0000	3	PACK	500.000000	500.0000	11	GR	16.000000	8000.00	2026-04-13	PAID	2026-04-13 09:31:29
